Date et heure (EDT),Mètres
2025-01-01T03:52:00,2.750
2025-01-01T09:30:00,0.734
2025-01-01T16:05:00,3.841
2025-01-01T22:41:00,0.643
2025-01-02T04:32:00,2.775
2025-01-02T10:14:00,0.636
2025-01-02T16:49:00,3.865
2025-01-02T23:24:00,0.626
2025-01-03T05:15:00,2.817
2025-01-03T11:03:00,0.607
2025-01-03T17:33:00,3.787
2025-01-04T00:06:00,0.619
2025-01-04T06:02:00,2.880
2025-01-04T11:55:00,0.656
2025-01-04T18:19:00,3.610
2025-01-05T00:48:00,0.624
2025-01-05T06:53:00,2.960
2025-01-05T12:51:00,0.758
2025-01-05T19:08:00,3.367
2025-01-06T01:32:00,0.660
2025-01-06T07:47:00,3.045
2025-01-06T13:53:00,0.868
2025-01-06T20:02:00,3.101
2025-01-07T02:18:00,0.736
2025-01-07T08:44:00,3.127
2025-01-07T14:59:00,0.943
2025-01-07T21:01:00,2.859
2025-01-08T03:10:00,0.839
2025-01-08T09:43:00,3.203
2025-01-08T16:12:00,0.956
2025-01-08T22:07:00,2.680
2025-01-09T04:09:00,0.924
2025-01-09T10:44:00,3.286
2025-01-09T17:27:00,0.905
2025-01-09T23:16:00,2.585
2025-01-10T05:13:00,0.941
2025-01-10T11:49:00,3.394
2025-01-10T18:38:00,0.818
2025-01-11T00:25:00,2.573
2025-01-11T06:16:00,0.866
2025-01-11T12:54:00,3.539
2025-01-11T19:39:00,0.731
2025-01-12T01:28:00,2.623
2025-01-12T07:14:00,0.734
2025-01-12T13:54:00,3.696
2025-01-12T20:33:00,0.662
2025-01-13T02:21:00,2.707
2025-01-13T08:07:00,0.603
2025-01-13T14:46:00,3.816
2025-01-13T21:22:00,0.613
2025-01-14T03:09:00,2.802
2025-01-14T08:56:00,0.527
2025-01-14T15:32:00,3.859
2025-01-14T22:05:00,0.581
2025-01-15T03:53:00,2.889
2025-01-15T09:42:00,0.530
2025-01-15T16:13:00,3.815
2025-01-15T22:44:00,0.574
2025-01-16T04:35:00,2.946
2025-01-16T10:26:00,0.607
2025-01-16T16:51:00,3.697
2025-01-16T23:20:00,0.605
2025-01-17T05:15:00,2.963
2025-01-17T11:07:00,0.727
2025-01-17T17:28:00,3.529
2025-01-17T23:53:00,0.684
2025-01-18T05:54:00,2.945
2025-01-18T11:48:00,0.864
2025-01-18T18:05:00,3.326
2025-01-19T00:26:00,0.807
2025-01-19T06:33:00,2.909
2025-01-19T12:30:00,1.003
2025-01-19T18:44:00,3.096
2025-01-20T00:58:00,0.955
2025-01-20T07:13:00,2.877
2025-01-20T13:15:00,1.145
2025-01-20T19:26:00,2.849
2025-01-21T01:32:00,1.100
2025-01-21T07:57:00,2.860
2025-01-21T14:08:00,1.286
2025-01-21T20:13:00,2.608
2025-01-22T02:11:00,1.225
2025-01-22T08:48:00,2.858
2025-01-22T15:15:00,1.398
2025-01-22T21:07:00,2.406
2025-01-23T02:59:00,1.320
2025-01-23T09:45:00,2.873
2025-01-23T16:36:00,1.430
2025-01-23T22:11:00,2.276
2025-01-24T03:59:00,1.372
2025-01-24T10:47:00,2.916
2025-01-24T17:54:00,1.356
2025-01-24T23:25:00,2.246
2025-01-25T05:07:00,1.357
2025-01-25T11:49:00,3.007
2025-01-25T18:53:00,1.212
2025-01-26T00:36:00,2.312
2025-01-26T06:09:00,1.267
2025-01-26T12:47:00,3.160
2025-01-26T19:40:00,1.037
2025-01-27T01:31:00,2.427
2025-01-27T07:02:00,1.114
2025-01-27T13:38:00,3.372
2025-01-27T20:23:00,0.853
2025-01-28T02:16:00,2.552
2025-01-28T07:48:00,0.915
2025-01-28T14:23:00,3.613
2025-01-28T21:03:00,0.682
2025-01-29T02:55:00,2.683
2025-01-29T08:33:00,0.699
2025-01-29T15:07:00,3.830
2025-01-29T21:43:00,0.536
2025-01-30T03:34:00,2.831
2025-01-30T09:18:00,0.506
2025-01-30T15:49:00,3.961
2025-01-30T22:21:00,0.424
2025-01-31T04:14:00,3.002
2025-01-31T10:05:00,0.379
2025-01-31T16:31:00,3.961
2025-01-31T22:58:00,0.354
2025-02-01T04:56:00,3.180
2025-02-01T10:54:00,0.342
2025-02-01T17:13:00,3.822
2025-02-01T23:34:00,0.337
2025-02-02T05:40:00,3.330
2025-02-02T11:44:00,0.396
2025-02-02T17:57:00,3.575
2025-02-03T00:12:00,0.389
2025-02-03T06:26:00,3.412
2025-02-03T12:37:00,0.522
2025-02-03T18:44:00,3.268
2025-02-04T00:52:00,0.516
2025-02-04T07:15:00,3.404
2025-02-04T13:33:00,0.689
2025-02-04T19:36:00,2.951
2025-02-05T01:38:00,0.701
2025-02-05T08:09:00,3.323
2025-02-05T14:38:00,0.861
2025-02-05T20:34:00,2.663
2025-02-06T02:32:00,0.901
2025-02-06T09:10:00,3.216
2025-02-06T15:55:00,0.989
2025-02-06T21:43:00,2.439
2025-02-07T03:39:00,1.044
2025-02-07T10:22:00,3.158
2025-02-07T17:22:00,1.015
2025-02-07T23:03:00,2.319
2025-02-08T04:56:00,1.066
2025-02-08T11:41:00,3.213
2025-02-08T18:39:00,0.939
2025-02-09T00:24:00,2.332
2025-02-09T06:07:00,0.967
2025-02-09T12:52:00,3.370
2025-02-09T19:40:00,0.821
2025-02-10T01:27:00,2.446
2025-02-10T07:08:00,0.812
2025-02-10T13:49:00,3.541
2025-02-10T20:28:00,0.707
2025-02-11T02:16:00,2.615
2025-02-11T07:59:00,0.670
2025-02-11T14:34:00,3.652
2025-02-11T21:08:00,0.616
2025-02-12T02:57:00,2.803
2025-02-12T08:46:00,0.582
2025-02-12T15:14:00,3.680
2025-02-12T21:42:00,0.557
2025-02-13T03:35:00,2.976
2025-02-13T09:28:00,0.560
2025-02-13T15:50:00,3.636
2025-02-13T22:13:00,0.536
2025-02-14T04:11:00,3.100
2025-02-14T10:08:00,0.594
2025-02-14T16:24:00,3.541
2025-02-14T22:42:00,0.565
2025-02-15T04:45:00,3.161
2025-02-15T10:44:00,0.663
2025-02-15T16:57:00,3.407
2025-02-15T23:10:00,0.645
2025-02-16T05:18:00,3.170
2025-02-16T11:20:00,0.755
2025-02-16T17:31:00,3.233
2025-02-16T23:37:00,0.767
2025-02-17T05:51:00,3.147
2025-02-17T11:56:00,0.867
2025-02-17T18:07:00,3.017
2025-02-18T00:05:00,0.911
2025-02-18T06:25:00,3.107
2025-02-18T12:36:00,1.005
2025-02-18T18:44:00,2.770
2025-02-19T00:34:00,1.057
2025-02-19T07:03:00,3.050
2025-02-19T13:22:00,1.164
2025-02-19T19:26:00,2.517
2025-02-20T01:08:00,1.198
2025-02-20T07:48:00,2.971
2025-02-20T14:21:00,1.319
2025-02-20T20:16:00,2.294
2025-02-21T01:52:00,1.329
2025-02-21T08:43:00,2.884
2025-02-21T15:44:00,1.410
2025-02-21T21:22:00,2.139
2025-02-22T02:57:00,1.427
2025-02-22T09:53:00,2.834
2025-02-22T17:17:00,1.370
2025-02-22T22:51:00,2.098
2025-02-23T04:23:00,1.428
2025-02-23T11:12:00,2.890
2025-02-23T18:26:00,1.219
2025-02-24T00:14:00,2.192
2025-02-24T05:41:00,1.296
2025-02-24T12:21:00,3.078
2025-02-24T19:17:00,1.011
2025-02-25T01:10:00,2.364
2025-02-25T06:40:00,1.072
2025-02-25T13:16:00,3.348
2025-02-25T19:59:00,0.781
2025-02-26T01:53:00,2.578
2025-02-26T07:31:00,0.804
2025-02-26T14:01:00,3.627
2025-02-26T20:37:00,0.559
2025-02-27T02:32:00,2.836
2025-02-27T08:18:00,0.531
2025-02-27T14:44:00,3.838
2025-02-27T21:13:00,0.372
2025-02-28T03:10:00,3.130
2025-02-28T09:05:00,0.298
2025-02-28T15:26:00,3.924
2025-02-28T21:48:00,0.240
2025-03-01T03:49:00,3.427
2025-03-01T09:53:00,0.143
2025-03-01T16:08:00,3.867
2025-03-01T22:22:00,0.182
2025-03-02T04:30:00,3.669
2025-03-02T10:41:00,0.097
2025-03-02T16:51:00,3.686
2025-03-02T22:59:00,0.210
2025-03-03T05:12:00,3.792
2025-03-03T11:29:00,0.168
2025-03-03T17:36:00,3.424
2025-03-03T23:37:00,0.330
2025-03-04T05:57:00,3.764
2025-03-04T12:19:00,0.345
2025-03-04T18:23:00,3.123
2025-03-05T00:19:00,0.529
2025-03-05T06:45:00,3.601
2025-03-05T13:14:00,0.594
2025-03-05T19:14:00,2.813
2025-03-06T01:06:00,0.774
2025-03-06T07:40:00,3.362
2025-03-06T14:20:00,0.857
2025-03-06T20:14:00,2.519
2025-03-07T02:05:00,1.009
2025-03-07T08:47:00,3.139
2025-03-07T15:46:00,1.040
2025-03-07T21:30:00,2.288
2025-03-08T03:23:00,1.160
2025-03-08T10:09:00,3.030
2025-03-08T17:18:00,1.058
2025-03-08T23:03:00,2.205
2025-03-09T04:50:00,1.164
2025-03-09T11:34:00,3.083
2025-03-09T18:32:00,0.958
2025-03-10T00:24:00,2.297
2025-03-10T06:02:00,1.049
2025-03-10T12:42:00,3.222
2025-03-10T19:26:00,0.833
2025-03-11T01:19:00,2.490
2025-03-11T07:01:00,0.891
2025-03-11T13:32:00,3.343
2025-03-11T20:06:00,0.732
2025-03-12T02:00:00,2.727
2025-03-12T07:50:00,0.745
2025-03-12T14:14:00,3.406
2025-03-12T20:38:00,0.661
2025-03-13T02:36:00,2.965
2025-03-13T08:33:00,0.643
2025-03-13T14:50:00,3.415
2025-03-13T21:07:00,0.618
2025-03-14T03:09:00,3.165
2025-03-14T09:12:00,0.595
2025-03-14T15:23:00,3.389
